,Title,Release Year,Locations,Fun Facts,Director,Writer,Actor 1,Actor 2,Actor 3
1653,Vertigo,1958,San Francisco Drydock (20th and Illinois Streets),,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes
1654,Shang-Chi and the Legend of the Ten Rings,2021,Post between Van Ness and Kearny,,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina
1655,The Doors,1991,,,Oliver Stone,J. Randal Johnson,Val Kilmer,Meg Ryan,
1656,Magnum Force,1973,San Francisco International Airport,SFO has a museum dedicated to aviation history.,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan
1657,The Game,1997,Harrison Street (The Embarcadero),,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
1658,The Phone/Jexi,2019,3419 16th St,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1659,Looking Season 2 ep 209,2015,"Muddy Waters, 521 Valencia Street",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1660,The Last Thing He Told Me,2023,2698 Pacific Avenue,,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Laura Dave,Jennifer Garner,Angourie Rice,Aisha Tyler
1661,The Diary of a Teenage Girl,2015,Ocean Beach at Point Lobos,,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
1662,The Phone/Jexi,2019,Elixir - 3200 16th St,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1663,Venom: Let There Be Carnage,2021,238 Columbus,,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson
1664,Looking,2014,"Tiburon Hiking Trail, Tiburon, CA",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1665,DEVS,2020,Alamo Square Park,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
1666,Patch Adams,1998,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,
1667,Blue Jasmine,2013,2179 48th Ave,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
1668,Heart and Souls,1993,2810 Pacific Avenue,,Tomas Gislason,Tomas Gislason,Jorgen Leth,,
1669,The Phone/Jexi,2019,Mash Transit - 284 Sanchez St,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1670,Junior,1994,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson
1671,Basic Instinct,1992,1158-70 Montgomery Street,,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
1672,Bitter Melon,2018,66 Danton St,,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera
1673,Chance- Season 1 ep107,2016,145 Barlett St.,,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
1674,"Budding Prospects, Pilot",2017,500 Cortland Avenue,,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore
1675,Dr. Dolittle 2,2001,"Sacramento St., Between Pierce & Broderick Streets",,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,
1676,The Last Black Man in San Francisco,2019,Shotwell St btwn 20th and 21st St,,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
1677,San Andreas,2015,Water work in SF Bay,Characters drive in a high speed picture boat to see different views of the city.,Brad Peyton,Allan Loeb,Dwayne Johnson,,
1678,Blue Jasmine,2013,Jones & Pacific,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
1679,Freebie and the Bean,1974,Twin Peaks,"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area ""called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit
1680,Looking Season 2 ep 204,2015,"Urban Flowers, 4029 18th Street",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1681,"Looking ""Special""",2016,Fisherman's Wharf,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1682,Flower Drum Song,1961,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,Benson Fong
1683,Quitters,2015,Yerba Buena Gardens,,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows
1684,Looking,2014,Dolores Park,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1685,Chance- Season 1 ep104,2016,Bush and Sansome St.,,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee
1686,Etruscan Smile,2017,"Laguna Honda Hospital, 375 Laguna Honda Blvd.",,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
1687,Summertime,2015,Sansome (Washington to Bush) Pine (Davis to Kearny) Bush: Kearny to Battery,,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
1688,Hard to Hold,1984,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Larry Peerce,"Thomas Hedley, Jr.",Rick Springfield,,
1689,The Bridge,2006,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Eric Steel,,John Snowden,,
1690,"Murder in the First, Season 3",2016,535 Octavia Street,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1691,Sonic the Hedgehog,2020,2nd St btwn Mission and Howard,,Jeff Fowler,"Josh Miller, Patrick Casey, Oren Uziel",Jim Carrey,James Marsden,Ben Schwartz
1692,I’m A Virgo,2023,Portsmouth Square Park,,Boots Riley,Boots Riley,Jharrel Jerome,Mike Epps,Carmen Ejogo
1693,Always Be My Maybe,2019,"Fort Point (Presidio, Golden Gate National Recreation Area)",,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves
1694,Sweet November,2001,Farley's Café (1315 18th Street Near Missouri),,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,
1695,Looking Season 2 ep 202,2015,770 Haight Street,"This home was also used in MILK, Big Sur and Diary of a Teenage Girl",Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1696,Nash Bridges,2021,The Embarcadero between Pier 9 and Pier 15,,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
1697,Steve Jobs,2015,Intersection of Clay St. and Walter U Lum Plc,,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen
1698,GirlBoss,2017,"La Taqueria, 2889 Mission St.","The restaurant was given the honor of ""America's Best Burrito"" in 2014 by ESPN's FiveThirtyEight.","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
1699,Ant-Man and the Wasp,2018,Laguna St btwn Jackson and Broadway,,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
1700,The Diary of a Teenage Girl,2015,Polk and Northpoint St.,,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
1701,When a Man Loves a Woman,1994,"Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,
1702,"Smile Again, Jenny Lee",2015,E Tutto Qua Restaurant (270 Columbus St.),,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
1703,Edtv,1999,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,
1704,Godzilla,2014,Broadway & Sansome,,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
1705,Swing,2003,Broadway Studios (435 Broadway at Montgomery Street),,Martin Guigui,Mary Keil,Constance Brenneman,,
1706,Chance- Season 1 ep103,2016,Forrest Hill Muni Station,A Muni station agent played himself in this scene.,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
1707,The OA Part II,2019,Washington at Taylor St - Jackson St,,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
1708,Godzilla,2014,Post & Jones St.,,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
1709,Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez
1710,Time After Time,1979,"Huntington Park (California & Taylor Streets, Nob Hill)","The mansion of Arabella Huntington, widow of railroad magnate Collis P. Huntington, was destroyed in the 1906 earthquake and fire. Mrs. Huntington the donated the land on which the park now stands to the city.",Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner
1711,Pushing Dead,2016,Hayes Street between Ashbury and Shrader,,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
1712,Birth of the Dragon,2016,Grant between Bush and Broadway,,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
1713,Blue Jasmine,2013,Motel Capri,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
1714,Live Nude Girls Unite,2000,Lusty Lady Bar (North Beach),,Vicky Funari,Vicky Funari,,,
1715,Venom,2018,Embarcadero btwn Folsom and Bryant,Motorcycle/SUV chase scene,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
1716,Ant-Man and the Wasp,2018,Jones St btwn Green and Pacific,Stunt scene involving car jump,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
1717,The Lady from Shanghai,1947,Golden Gate Park,"The Playland amusement park where ""Hall of Mirrors"" sequence at the end of the movie was filmed has since been destroyed. However, relics from the park are now housed at the nearby Cliff House.",Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane
1718,Shit and Champagne,2020,Steiner St and Hayes St,,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay
1719,Invasion of the Body Snatchers,1978,Broadway Tunnel (Russian Hill),,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
1720,Americana,2015,The San Francisco School (300 Gavin St.),,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
1721,Alexander's Ragtime Band,1938,San Francisco Bay,,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche
1722,Ballers Season 3,2017,California and Jones St.,,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller
1723,Pushing Dead,2016,5th Ave @ Fulton Street in Golden Gate Park,,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
1724,Big Eyes,2014,Filbert St. & Leavenworth,,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz
1725,I Am Michael,2015,Sanchez/Cumberland steps and sidewalks,,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto
1726,The Enforcer,1976,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino
1727,Petulia,1968,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain
1728,A Smile Like Yours,1997,San Francisco International Airport,SFO has a museum dedicated to aviation history.,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,
1729,Sudden Impact,1983,"Near Point Lobos, El Camino Del Mar",,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,
1730,Jagged Edge,1985,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Richard Marquand,Joe Eszterhas,Glenn Close,Jeff Bridges,Peter Coyote
1731,Ant-Man and the Wasp,2018,Missouri St at 18th St,"VFX Plate Shots, chase scene",Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
1732,"Play it Again, Sam",1972,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",The theater closed in 1985.,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts
1733,Nash Bridges,2021,"Hibernia Bank, 1 Jones Street",,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
1734,Tales of the City,2019,Macondray Ln and Taylor btwn Union and Green,,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
1735,Woman on the Run,1950,835-865 Market Street at 5th Street,"The Emporium, a department store, stood in this location. Bloomingdale's is now located here.",Norman Foster,Norman Foster,Ann Sheridan,Dennis O'Keefe,Robert Keith
1736,Super Pumped: The Battle for Uber,2022,SF City Hall Carlton B. Goodlett Place Street Steps,,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé
1737,Experiment in Terror,1962,"Wells Fargo Bank (1 California Street, Financial District)",,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers
1738,Happy Gilmore,1996,,,Dennis Dugan,Tim Herlihy,Adam Sandler,,
1739,DEVS,2020,Stevenson Alley btwn 6th and 7th St,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
1740,Star Trek IV: The Voyage Home,1986,Intersection of Grant & Fresno Streets (North Beach),,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei
1741,They Call Me MISTER Tibbs,1970,,,Gordon Douglas,Alan R. Trustman,Sidney Poitier,Martin Landau,Barbara McNair
1742,Bullitt,1968,Marina Green (Marina District),"Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.",Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn
1743,"Smile Again, Jenny Lee",2015,Manor West (750 Harrison St.),,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
1744,The Phone/Jexi,2019,"Grid around Financial District, SOMA",,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1745,Chance Season 2,2017,Marina Blvd between Baker and Fillmore St,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
1746,Bedazzled,2000,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,
1747,Patty Hearst,1988,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,Ving Rhames
1748,The Wedding Planner,2001,Montgomery Street at Union Street,,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,
1749,The Princess Diaries,2001,Broadway Tunnel (Broadway between Powell and Larkin),,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,
1750,San Francisco,1936,The Barbary Coast,"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.",W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Spencer Tracy
1751,Looking,2014,Doc's Clock,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1752,Etruscan Smile,2017,"Outpost Studios, 69 Green Street",,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
1753,My Big Fat Chinese Christmas,2022,Mason Street between California and Pine,,Jennifer Liao,"Blaine Chiappetta ,Marguerite Henry, Justine Wentzell-Chang",Shannon Chan-Kent,Shannon Kook,Tia Carrere
1754,Dirty Harry,1971,Holiday Inn Select Downtown Hotel (750 Kearney Street),,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,
1755,DEVS,2020,Coit Tower,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
1756,Pal Joey,1957,"Spreckels Mansion (2080 Washington Street, Pacific Heights)",,George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,Kim Novak
1757,"Murder in the First, Season 1",2014,800 Bay Street,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1758,Sense8 - Season 2,2016,"City Lights Bookstore, 261 Columbus Ave.",Howl and Other Poems by Allen Ginsberg was published in 1956 by City Lights after poet and founder Laurence Ferlinghetti heard Ginsberg read it in 1955.,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
1759,A Taiwanese Tale of Two Cities,2018,Dolores Park,,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen
